X	Y	Temperature
0	251859545753.05	2.22667889953989E+27
0.100095675332419	251859545753.05	2.22667889953989E+27
0.200300304572212	251859545753.049	2.22667889953989E+27
0.300508583543014	251859545753.05	2.22667889953989E+27
0.400681678622987	251859545753.05	2.22667889953989E+27
0.500911771720428	251859545753.05	2.22667889953989E+27
0.60114178696666	251859545753.051	2.22667889953989E+27
0.701281432422072	251859545753.051	2.22667889953989E+27
0.801388218764598	251859545753.052	2.22667889953989E+27
0.901338932925696	251859545753.053	2.22667889953989E+27
1.00116643236819	251859545753.053	2.22667889953989E+27
1.10099393180704	251859545753.054	2.22667889953989E+27
1.20088714574517	251859545753.054	2.22667889953989E+27
1.30088714574517	251859545753.054	2.22667889953989E+27
1.40089261777531	251859545753.055	2.22667889953989E+27
0	251859545753.15	2.22667889953989E+27
0.100133956178621	251859545753.15	2.22667889953989E+27
0.200238998406254	251859545753.149	2.22667889953989E+27
0.300334255141723	251859545753.15	2.22667889953989E+27
0.400455262564301	251859545753.15	2.22667889953989E+27
0.500540361031512	251859545753.15	2.22667889953989E+27
0.60063892027278	251859545753.151	2.22667889953989E+27
0.700732093733707	251859545753.151	2.22667889953989E+27
0.800742045511275	251859545753.152	2.22667889953989E+27
0.90071283298258	251859545753.153	2.22667889953989E+27
1.00063482627156	251859545753.153	2.22667889953989E+27
1.10061114142789	251859545753.154	2.22667889953989E+27
1.20057917258905	251859545753.154	2.22667889953989E+27
1.30051841131575	251859545753.154	2.22667889953989E+27
1.40049834964619	251859545753.155	2.22667889953989E+27
0	251859545753.249	2.22667889953989E+27
0.100078088296796	251859545753.249	2.22667889953989E+27
0.200133224879462	251859545753.249	2.22667889953989E+27
0.300168869501687	251859545753.25	2.22667889953989E+27
0.400180123941109	251859545753.25	2.22667889953989E+27
0.500199917786936	251859545753.25	2.22667889953989E+27
0.600200636304116	251859545753.251	2.22667889953989E+27
0.700219729970362	251859545753.251	2.22667889953989E+27
0.80021533096634	251859545753.252	2.22667889953989E+27
0.900215638093959	251859545753.253	2.22667889953989E+27
1.0002115273603	251859545753.253	2.22667889953989E+27
1.10018431711778	251859545753.254	2.22667889953989E+27
1.20016694677377	251859545753.254	2.22667889953989E+27
1.30014361541256	251859545753.254	2.22667889953989E+27
1.40014661609659	251859545753.255	2.22667889953989E+27
0	251859545753.349	2.22667889953989E+27
0.100034970460501	251859545753.349	2.22667889953989E+27
0.200017649237459	251859545753.349	2.22667889953989E+27
0.299963679126247	251859545753.35	2.22667889953989E+27
0.39991749548873	251859545753.35	2.22667889953989E+27
0.4998019024968	251859545753.35	2.22667889953989E+27
0.599722619315263	251859545753.351	2.22667889953989E+27
0.699698717462676	251859545753.351	2.22667889953989E+27
0.799684097746669	251859545753.352	2.22667889953989E+27
0.899683340215427	251859545753.353	2.22667889953989E+27
0.999705798419848	251859545753.353	2.22667889953989E+27
1.09976566790826	251859545753.354	2.22667889953989E+27
1.19978699294266	251859545753.354	2.22667889953989E+27
1.29981301996128	251859545753.354	2.22667889953989E+27
1.39983221695925	251859545753.354	2.22667889953989E+27
0	251859545753.449	2.22667889953989E+27
0.0999398297092938	251859545753.449	2.22667889953989E+27
0.199868648889056	251859545753.449	2.22667889953989E+27
0.299758433253912	251859545753.45	2.22667889953989E+27
0.399596806308565	251859545753.45	2.22667889953989E+27
0.499459190331759	251859545753.45	2.22667889953989E+27
0.599262140540683	251859545753.451	2.22667889953989E+27
0.699074525905809	251859545753.451	2.22667889953989E+27
0.799012981030275	251859545753.452	2.22667889953989E+27
0.899107572537397	251859545753.453	2.22667889953989E+27
0.999255201699868	251859545753.453	2.22667889953989E+27
1.09938853090636	251859545753.454	2.22667889953989E+27
1.19951833221129	251859545753.454	2.22667889953989E+27
1.29961640618347	251859545753.454	2.22667889953989E+27
1.39966555637802	251859545753.454	2.22667889953989E+27
0.7	-0.41	0
0.8	-0.41	0
0.9	-0.41	0
1	-0.41	0
1.1	-0.41	0
1.2	-0.41	0
1.3	-0.41	0
1.4	-0.41	0
1.5	-0.41	0
1.6	-0.41	0
1.7	-0.41	0
1.8	-0.41	0
1.9	-0.41	0
2	-0.41	0
2.1	-0.41	0
0.7	-0.31	0
0.8	-0.31	0
0.9	-0.31	0
1	-0.31	0
1.1	-0.31	0
1.2	-0.31	0
1.3	-0.31	0
1.4	-0.31	0
1.5	-0.31	0
1.6	-0.31	0
1.7	-0.31	0
1.8	-0.31	0
1.9	-0.31	0
2	-0.31	0
2.1	-0.31	0
0.7	-0.21	0
0.8	-0.21	0
0.9	-0.21	0
1	-0.21	0
1.1	-0.21	0
1.2	-0.21	0
1.3	-0.21	0
1.4	-0.21	0
1.5	-0.21	0
1.6	-0.21	0
1.7	-0.21	0
1.8	-0.21	0
1.9	-0.21	0
2	-0.21	0
2.1	-0.21	0
0.7	-0.11	0
0.8	-0.11	0
0.9	-0.11	0
1	-0.11	0
1.1	-0.11	0
1.2	-0.11	0
1.3	-0.11	0
1.4	-0.11	0
1.5	-0.11	0
1.6	-0.11	0
1.7	-0.11	0
1.8	-0.11	0
1.9	-0.11	0
2	-0.11	0
2.1	-0.11	0
0.7	-0.01	0
0.8	-0.01	0
0.9	-0.01	0
1	-0.01	0
1.1	-0.01	0
1.2	-0.01	0
1.3	-0.01	0
1.4	-0.01	0
1.5	-0.01	0
1.6	-0.01	0
1.7	-0.01	0
1.8	-0.01	0
1.9	-0.01	0
2	-0.01	0
2.1	-0.01	0
